state,latitude,longitude,timing
AK,65.07833,-145.87067,-9.807692308
AK,64.94583,-145.51667,-13.53846154
AZ,33.65387,-109.30952,-25.79230769
AZ,33.92121,-109.45881,-11.84615385
CA,38.608,-119.92437,-1.376923077
CA,41.58233,-120.3025,-20.29230769
CA,41.99127,-120.18033,0.646153846
CA,38.5497,-119.80468,-8.030769231
CA,38.849,-120.0795,-0.938461538
CA,38.93403,-120.0545,12.82307692
CA,38.8519,-119.9374,-23.06923077
CA,38.92431,-119.91641,-0.392307692
CA,39.45269,-120.29367,-12.19230769
CA,39.49001,-120.28226,-17.07692308
CA,39.42752,-120.31342,1.784615385
CA,38.30367,-119.55111,-0.084615385
CA,38.43745,-119.36572,-9.046153846
CA,38.50576,-119.62624,9.423076923
CA,38.99927,-120.13139,-6.515384615
CA,38.31021,-119.6003,0.784615385
CA,39.18986,-120.26576,0.184615385
CA,39.17162,-120.15362,-19.02307692
CA,39.30087,-120.18407,0.661538462
CA,38.07298,-119.23433,1.5
CA,39.13545,-120.21865,-1.2
CO,37.33062,-105.06749,-35.83076923
CO,40.31176,-105.6467,-10.45384615
CO,39.80392,-105.77789,-6.115384615
CO,39.08766,-106.5417,-10.65384615
CO,39.87505,-107.59853,-23.98461538
CO,38.89433,-106.953,-12.88461538
CO,37.65083,-107.80602,-9.569230769
CO,40.3948,-106.60408,-19.76153846
CO,39.48954,-106.17095,-7.361538462
CO,37.20945,-105.19959,-5.184615385
CO,37.01878,-106.45179,-10.76923077
CO,40.80571,-105.76993,0.069230769
CO,40.53397,-106.7813,-14.32307692
CO,40.84781,-106.96871,-16.21538462
CO,39.37991,-106.19681,-6.530769231
CO,39.64631,-105.86973,-8.592307692
CO,39.36127,-106.05978,0.453846154
CO,37.9339,-107.67552,-7.376923077
CO,39.07539,-106.61169,-9.046153846
CO,40.53215,-105.887,-7.684615385
CO,39.31724,-106.61453,-13.04615385
CO,39.93678,-105.58956,-12.21538462
CO,40.41432,-105.8198,-14.33846154
CO,37.37929,-106.54835,-40.76153846
CO,37.79926,-107.92426,-27.82307692
CO,37.89183,-108.19544,-3.623076923
CO,39.12897,-107.28806,-24.12307692
CO,37.61978,-107.03482,-18.53076923
CO,37.84747,-107.72657,-15.32307692
CO,40.03523,-105.54426,2.607692308
CO,38.81996,-106.58974,6.523076923
CO,39.04644,-107.87414,-2.638461538
CO,40.39937,-105.84757,-12.73846154
CO,38.48884,-106.33965,-10.10769231
CO,37.8918,-107.71342,-2.115384615
CO,40.87502,-106.04603,-7.246153846
CO,37.9908,-107.20327,-12.13846154
CO,40.53743,-106.6768,-2.6
CO,40.03279,-105.57615,5.638461538
CO,37.48576,-106.83535,-19.04615385
CO,39.61676,-106.38006,-28.43076923
CO,37.21411,-105.12245,-19.37692308
CO,40.34703,-106.09433,-7.223076923
CO,40.43254,-105.73337,-2.492307692
ID,44.30342,-115.23447,-6.107692308
ID,44.60533,-116.98097,-4.892307692
ID,44.62621,-115.79561,-6.5
ID,42.16442,-114.19272,-12.62307692
ID,44.28846,-115.65508,-0.576923077
ID,44.437,-111.99384,-17.81538462
ID,43.6025,-114.67417,-18.47692308
ID,42.0505,-111.6012,-8.607692308
ID,43.6104,-113.9308,-8.461538462
ID,43.9538,-115.27387,-13.5
ID,42.32029,-113.61587,-6.723076923
ID,43.71077,-114.15894,-0.392307692
ID,42.18072,-114.28662,-4.615384615
ID,44.4147,-113.39812,-17.12307692
ID,44.84237,-114.26871,-21.74615385
ID,45.69694,-115.22972,-8.146153846
ID,45.18848,-115.97152,-7.307692308
ID,42.56248,-111.29797,-6.861538462
ID,42.95275,-111.35933,-3.592307692
ID,42.76478,-116.90037,-15.51538462
ID,43.86117,-114.20902,-7.507692308
ID,43.626,-113.96887,-3.461538462
ID,43.62903,-115.43818,-6.823076923
MT,48.5712,-115.44573,2.715384615
MT,46.09713,-113.13038,0.738461538
MT,45.79737,-112.52047,-15.56923077
MT,44.47147,-112.98191,-7.807692308
MT,44.94966,-111.35852,-4.538461538
MT,44.50832,-111.12803,4.453846154
MT,46.414,-113.43095,-7.469230769
MT,45.16507,-113.50099,-1.915384615
MT,46.5596,-111.28973,-1.992307692
